CreatedDate,Description,Table,User_Id
10/8/2019 11:30,Loyalty Program - Baca Berita,programs,29213
10/8/2019 11:31,Loyalty Program - Baca Berita,programs,306
10/8/2019 11:31,Loyalty Program - Baca Berita,programs,31633
10/8/2019 11:31,CEK FAKTA - LIPUTAN6,games,32852
10/8/2019 11:31,Loyalty Program - Baca Berita,programs,32853
10/8/2019 11:31,Loyalty Program - Baca Berita,programs,29946
10/8/2019 11:31,Loyalty Program - Baca Berita,programs,29872
10/8/2019 11:31,Loyalty Program - Baca Berita,programs,29154
10/8/2019 11:32,CEK FAKTA - LIPUTAN6,games,32852
10/8/2019 11:33,Loyalty Program - Baca Berita,programs,30997
10/8/2019 11:33,Loyalty Program - Baca Berita,programs,32646
10/8/2019 11:33,SELEBRITI INDONESIA - LIPUTAN6,games,32852
10/8/2019 11:33,Loyalty Program - Baca Berita,programs,28208
10/8/2019 11:34,PENGETAHUAN UMUM - LIPUTAN6,games,32852
10/8/2019 11:35,Loyalty Program - Baca Berita,programs,27591
10/8/2019 11:35,Loyalty Program - Baca Berita,programs,30115
10/8/2019 11:35,Loyalty Program - Baca Berita,programs,30918
10/8/2019 11:35,Loyalty Program - Baca Berita,programs,32542
10/8/2019 11:36,Loyalty Program - Baca Berita,programs,29835
10/8/2019 11:36,Loyalty Program - Baca Berita,programs,32023
10/8/2019 11:36,Loyalty Program - Baca Berita,programs,1638
10/8/2019 11:36,Loyalty Program - Baca Berita,programs,30878
10/8/2019 11:36,Loyalty Program - Baca Berita,programs,30115
10/8/2019 11:36,Loyalty Program - Baca Berita,programs,32730
10/8/2019 11:37,Loyalty Program - Baca Berita,programs,29835
10/8/2019 11:38,Loyalty Program - Baca Berita,programs,30115
10/8/2019 11:38,Loyalty Program - Baca Berita,programs,28643
10/8/2019 11:38,Loyalty Program - Baca Berita,programs,31476
10/8/2019 11:38,Loyalty Program - Baca Berita,programs,32542
10/8/2019 11:38,Loyalty Program - Baca Berita,programs,32567
10/8/2019 11:38,Loyalty Program - Baca Berita,programs,31906
10/8/2019 11:39,Loyalty Program - Baca Berita,programs,29450
